job_id,company_name,title,description,location,min_salary,max_salary,med_salary,pay_period,currency,formatted_work_type,formatted_experience_level,remote_allowed,skills_desc,listed_time
2735151240,LT Apparel Group,Intern- Business Analytics,"Summer Internshipadidas & Carhartt kids DivisionLT Apparel- Greensboro, NC Location
We are a leading apparel company that is constantly innovating and seeking new ways to improve. We are looking for a bright and motivated intern to join our team and help us streamline our costing process and build powerful predictive models.
Responsibilities:· Partner with the global sourcing team to review and analyze current costing models and identify areas to improve process efficiency.· Build and implement predictive product costing models.· Conduct data analysis to identify trends and patterns in material and production costs across various sourcing regions.Qualifications:· Candidate must be currently enrolled in an MBA program with a focus in data analytics.· Proven track record of academic excellence, with a strong understanding of data analysis, modeling, and visualization techniques.· Familiarity with data visualization tools (e.g., Tableau, Power BI).· Expertise in Microsoft Excel, including advanced formulas and functions.· A passion for working with data and an ability to translate complex information into actionable insights.· Excellent communication and interpersonal skills, with the ability to work effectively in a team environment.· A creative and innovative approach to problem-solving is a plus.
What we offer:This internship offers a unique opportunity to gain valuable experience in the fast-paced world of apparel manufacturing and data analysis while working with two established brands. You will work alongside industry experts in both sourcing and data, learning from the best in the business. We provide a competitive internship stipend and a fun and collaborative work environment.To Apply:Please submit your resume to catherine.lim@ltapparel.com.",Greensboro--Winston-Salem--High Point Area,,,,,,Temporary,,,,1712862491000.0
3540371917,KeyBank,Enterprise Data & Analytics Infrastructure Manager,"The Enterprise Data Infrastructure and Analytics manager will lead a team of talented and highly motivated engineers to strengthen our infrastructure support of KeyBank’s data and analytics program. This individual will work to drive out stability, build a talent pipeline, ensure the stability and security of our Enterprise Data and Analytics platforms and help drive modernization of our overall infrastructure program.
Reach out for more details
","Cleveland, OH",,,,,,Full-time,,,,1713451518000.0
3780415828,CapAcuity,Technical Business Analyst,"We’re actively seeking a Technical Business Analyst to join our team and help us continue to grow our business. As a Technical Business Analyst, you will be responsible for working with our information technology and business teams to understand our business requirements and translate them into technical specifications. You will also be responsible for working with our development team to ensure that our deliverables satisfy business requirements. Responsibilities include (but not limited to):Collaborate with project managers to define project scope, timelines, and deliverables.Analyze user requirements, user stories, use cases, and system architecture documents.Participate in design and testing activities for new and existing functionality.Conduct system and data validation checks to ensure accuracy and reliability.Identify and quantify business process improvements, contributing to operational efficiency.Train users on system functionalities and provide ongoing support as needed.Identify, analyze, and resolve system-specific issues through thorough research and analysis.Perform other duties as assigned to support project objectives and organizational goals. Skills and Qualifications:Bachelor degree in Business Administration, Finance, Computer Science, or related field.Proven experience as a Business Analyst in the IT industry, with 4+ years of progressive responsibility.Strong analytical skills with the ability to translate complex business needs into practical solutions.Proven ability to research, troubleshoot, and resolve complex problems.Strong written and verbal communication skills.Experience with T-SQL (SQL Server) is a plus, but not required Pay Range: $60,000 to $80,000Position Type: This is a 1099 position; with the potential to transition to W-2 permanent employmentPhysical setting: In Office, preferred; will consider remote for the right candidate.Work Location: Albany NY / Remote would ideally be based in the eastern time zoneBenefits: As a 1099 contractor, you will be responsible for your own benefits and tax obligations.","Albany, NY",60000.0,80000.0,,YEARLY,USD,Contract,,,,1713467593000.0
3813645405,Tenazx Inc,Data Analyst,"Job Title: Data AnalystDuration: ContractLocation: Queens-NY (Day 1 onsite)-- Need only locals 

Role DescriptionThis is a contract role for a Data Analyst. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting complex data sets. You will work with various departments to identify patterns, trends, and insights that can be used to improve business operations. This is an on-site role located in Queens, NY.
QualificationsAnalytical skills, including the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracyData Analytics and Statistics skills, including experience with statistical analysis software and data visualization toolsExcellent communication skills, including the ability to explain technical concepts to non-technical stakeholders and present findings to both technical and non-technical audiencesData Modeling skills, including the ability to develop and maintain complex data models and schemasA Bachelor's degree in Computer Science, Mathematics, Statistics or related fieldExperience with cybersecurity, blockchain, or financial services industries is a plusExperience with SQL, Python, or R programming languages is preferred","Queens, NY",,,,,,Contract,,,,1713465279000.0
3844031840,Benda Infotech,Junior Business Analyst,"Company Description
 Benda Infotech is a technology solution provider based in Chicago, IL. We specialize in online reputation management, web development, search engine optimization, content marketing, and social media marketing. Our HR services include recruitment, onboarding, and performance management. With a focus on helping businesses grow and transform with technology, we find solutions to increase efficiency, improve customer service, expand into new markets, develop new products or services, and reduce costs.
 Role Description
 This is a full-time on-site role as a Junior Business Analyst at Benda Infotech. As a Junior Business Analyst, you will be responsible for conducting business analysis, gathering and documenting business requirements, and assisting in business process improvement. You will collaborate with cross-functional teams to identify and analyze business needs and provide insights and recommendations to stakeholders.
 Qualifications
 Strong analytical skills and ability to think criticallyExperience or knowledge in business analysisExcellent written and verbal communication skillsUnderstanding of business processes and ability to identify areas for improvementAbility to gather and document business requirementsProficiency in Microsoft Office SuiteExperience with project management methodologies and toolsBachelor's degree in Business Administration or related fieldRelevant certifications in business analysis or project management
 Experience in the technology industry and familiarity with software development lifecycles would be beneficial for this role.","Chicago, IL",,,,,,Full-time,,,,1712858291000.0
3860323934,HERMEZ-IT,"Technical Business Analyst Local to Des Moines, Iowa","Job Description:
 REQUIREMENTS:• Involvement in prior technology implementations – 10 years• Leading requirements gathering and validation with staff – 10 years• Developing requirements documentation - Use Cases – 10 years• Testing system functionality against requirements and specifications. – 10 years• Training staff on system functionality as developed. – 10 years• Providing general technical assistance – 10 years• Experience using Atlassian Suite – Jira, Confluence, etc• Background in Finance/Accounting projects – 10 years

Skills Required:
Involvement in prior technology implementations -10YearsLeading requirements gathering and validation with staff – 10 yearsDeveloping requirements documentation - Use Cases – 10 yearsTesting system functionality against requirements and specifications. -10YearsTraining staff on system functionality as developed. 10YearsGeneral technical assistance 10YearsExperience documenting end to end processes 10YearsBackground in Finance/Financial projects 10YearsExperience mapping and documenting process flows 10YearsExperience using Atlassian Suite - Jira, Confluence, etc. 5Years

","Des Moines, IA",,,,,,Contract,,,,1713449751000.0
3872787865,Radiant Systems Inc,eCommerce Data Analyst,"Job Description: JOB SUMMARY:Responsible for cleaning, analyzing, interpreting, and displaying data using different approaches and business intelligence tools known as data analysis. Responsible for supporting a select group of digital tools and solutions and managing the implementation, business process modifications, project management, training, and communications of those technologies across the organization and targeted user base. Lead the demonstration of solutions and training for users on digital technology, provide collateral and updated training documents, and serve as an escalation point to troubleshoot non-common issues and user onboarding.DETAILED DESCRIPTION:• Responsible for supporting a selected group of digital tools and solutions and managed the implementation, business process modifications, project management, training, and communications of those technologies across the organization and targeted user base• Leads the demonstration of solutions and training for users on our internally grown digital technology, provides collateral and updated training documents and serves as an escalation point to troubleshoot non-common issues and user onboarding• Assists with the development, planning, organizing, and executing of all administrative tasks for a project• Monitors project execution aspects to ensure contribution by team members• Performs incidental project management, including planning, research, analysis and implementation of deliverables and action items• Acts as project sub-task lead on small projects• Assigning numerical value to essential business functions to assess and compare performance over time• Preparing reports for the management stating trends, patterns, and predictions using relevant data• Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to make crucial decisions based on various facts and trends
REQUIREMENTS AND SKILLS:• Experience analyzing data sets to find ways to solve problems relating to a business's customers• Familiarity with the eCommerce industry is a plus• Experience using data analyst tools• Experience presenting to peers, management, and other stakeholders• Excellent communication and problem-solving skills• Outstanding organizational skills• Multi-tasking abilities• Detailed oriented• Self-starter• Critical Thinking• Exceptional teamwork and leadership skills to help other technical support workers• Ability to learn new technologies and implement them• Personable and attentive – excellent customer service skills• Strong interpersonal skills• Performs incidental project management, including planning, research, analysis and implementation of deliverables and action items• Manage daily tasks
",United States,,,,,,Contract,,1.0,,1713277624000.0
3884428490,Advaana Inc,Digital Analyst (Google Analytics),"Job Title: Digital Analytics Specialist
Location: Weehawken, NJ
Company: Advaana Inc.
About Advaana Inc.
Advaana Inc., a premier Digital Analytics consulting firm, stands as a martech ally for agencies and marketing teams. We excel in Google Analytics 4, mParticle, Firebase, Branch/Braze, among other technologies, driving optimization in digital marketing strategies through superior analytics implementations. Our proficiency extends to Google Tag Manager, Adobe Analytics, Adobe Experience Platform, Looker Studio, Tableau, Power BI, and cloud technologies including AWS, GCP, and Azure.
Position Overview:
Advaana Inc. is on the lookout for a skilled Digital Analytics Specialist for our NJ location. This pivotal role is designed for individuals eager to push the boundaries of digital marketing through insightful data analysis and technological integrations. The ideal candidate will be deeply versed in Google Analytics 4, supplemented by familiarity with mParticle, Firebase, and Branch/Braze.
Responsibilities:
- Mastery of Google Analytics 4 is essential, with valuable knowledge in mParticle, Firebase, Branch/Braze. Applicants should be proficient in tagging and ready to engage in design and architecture discussions.- Identify and integrate the optimal marketing automation software and technological solutions into clients' frameworks, ensuring alignment with their strategic objectives.- Utilize robust problem-solving capabilities to decipher metrics such as conversion rates, cost-per-lead, and click-through rates, extracting insights for progressive enhancements.- Play an instrumental role in refining marketing campaigns, elevating customer engagement, and bolstering overall business metrics through detailed data analysis and the strategic use of marketing technology tools.- Collaborate intimately with marketing teams, digital marketing professionals, data analysts, and developers to uncover opportunities, evaluate performance, and devise strategies for marketing optimization.- Engage in rigorous data analysis and reporting, adeptly employing marketing technology tools like Braze, mParticle, Branch, Snowflake, Google Analytics, and Google Tag Management for strategic decision-making.- Design, execute, and analyze A/B or multivariate tests, reporting on outcomes to guide marketing tactics.- Gather, track, and scrutinize data via KPIs such as click-through rate, conversion rate, and cost-per-lead, proposing methods to amplify customer acquisition, demand generation, and revenue.- Demonstrate intermediate expertise in new technology solutions, including project management software, digital advertising platforms, and database management and analytics.
Qualifications:
- Proficient in Google Analytics 4, with a keen understanding of mParticle, Firebase, Branch/Braze.- Hands-on experience with tagging, data analysis, and the application of marketing technology tools.- Strong analytical skills with the capacity to interpret complex data for business insights.- Collaborative spirit, able to work across teams and with client stakeholders.- Knowledge in conducting A/B testing, multivariate testing, and proficiency in reporting.- Intermediate level skills in project management software, digital advertising platforms, and database management and analytics.
Why Join Us?
Advaana Inc. offers a stimulating environment where innovation and growth are not just encouraged but are part of our DNA. Being at the forefront of digital analytics and marketing technology, we provide a collaborative culture where your contributions will have a direct impact on our success and that of our clients. If you are passionate about leveraging data to drive marketing success, your place is here with us.
Apply Now
Step into the future of digital marketing analytics with Advaana Inc. Submit your application today through LinkedIn or visit our website.
---
Advaana Inc. is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.",United States,,,,,,Full-time,,1.0,,1712350881000.0
3884429717,Infotree Global Solutions,Senior Business Analyst (Pharma/Biotech/Scientific),"No H1B and/or C2C Please!!
Job Title: Senior Business AnalystW2 Contract & Onsite Work Location: Cambridge, MA
Required Education & Experience:-Bachelor's degree in computer science, engineering, a related field, or equivalent experienceExperience working in the PHARMA/Scientific environment, especially one that is related to drug development is preferredAround 5 or more years experience as Business AnalystProven success enabling customer success through thoughtful analysis and communicationExperience with O365 Tools, with a focus on collaborating using Teams and SharePoint Responsibilities:-Work effectively with the diverse community of researchers and management to capture business need, workflow, and valueEngage with the business owners, user and service provider of existing solutions to aid in assessment and planning for potential expansion, improvement, expansion, or transitionParticipate in the coordination and creation of product/service documentation and trainingParticipation in the creation of foundational service design documentationParticipate in global outreach and global collaboration initiatives, focused on our Japanese colleagues, to build and strengthen relationships with a diverse and dynamic research community at Client.

If you are a good fit then please apply quick!!","Cambridge, MA",,,,,,Contract,Mid-Senior level,,,1712352016000.0
3884430735,DATAECONOMY,Senior Business Analyst,"Role: Risk Business AnalystLocation: Tampa, FLFull-time Job Description:Must have experience in one of the Risk stripes - Operational Risk/Credit Risk/Market RiskExposure to Risk management and financial statements could be a plus.Solid Knowledge of Risk Reference Data sets and taxonomies. Able to standardize data dictionaries.Strong analytical and problem-solving skillsMust have good knowledge in Risk data elements and structures.Solid understanding of Risk data model framework. (Investment banking operations)Must have strong data analysis background. Should be able to query multiple datasets - Pl/SQL experience preferred.Solid understanding of excel functions.Must have very strong mapping, data lineage, data traceability creation .Able to effectively communicate and collaborate with architects , developers within the team and business stakeholders on data, process, and change management.Work on tight timelines.  Benefits:Standard Company Benefits","Tampa, FL",,,,,,Full-time,,,,1712347617000.0
